A,B,C,D,E,F
1.1465516119,0.7155257326,0.7643248805,0.9428363693,0.9388908794,6.4397207189
1.0076335878,0.7630318911,0.7917244969,0.9502129581,0.9646292056,7.9045403289
0.9108280255,0.7655705274,0.7911228898,0.9467960141,0.9638060613,8.7232859183
0.9108280255,0.767060421,0.7902320609,0.9474679818,0.9646838127,8.5904244216
0.8307904684,0.7268458417,0.8000015898,0.9454498185,0.9478347685,7.1101073553
0.9864864865,0.7623146268,0.7692752684,0.9487585709,0.9588428703,7.2535919386
1.4678898338,0.6902961808,0.7776378719,0.9394953507,0.9347945961,5.6898520171
1.030769238,0.7318284083,0.7920210322,0.945463798,0.9588574606,7.1363690287
1.4188429668,0.6755198869,0.7288866609,0.9368063071,0.9109883664,5.5443156083
1.175257732,0.7369577742,0.80367155,0.9492289853,0.9527229846,6.5997450496
0.9276315789,0.7620901516,0.7882838746,0.9486260408,0.9616906219,8.2742391816
1.1640625,0.7156465899,0.7340341862,0.9424489089,0.940226334,6.291927001
1.3522243282,0.7365525429,0.7663532385,0.9470491438,0.9504490275,6.517307516
0.7071048904,0.6969339269,0.7529885547,0.9467839213,0.940653562,5.9151817106
1.0143740695,0.7197269918,0.7937797299,0.9527460289,0.9570887338,5.3424840096
1.0135135135,0.7759528466,0.7711261261,0.9496521453,0.9636634862,8.0875403824
1.390882848,0.6789460293,0.7430284382,0.9362781841,0.92424421,6.0552113418
1.1523809524,0.7075175792,0.7908697363,0.9441794744,0.9359601323,5.9714939745
1.0559440559,0.7554063826,0.7703885518,0.9470713891,0.9549094458,7.0497623802
0.9215686275,0.7686790347,0.7938395216,0.9460460131,0.9656601539,8.8363011667
1.0673077022,0.7291948552,0.758489474,0.9455817822,0.9413535451,6.4496346779
1.1775700935,0.7375812828,0.771918113,0.9486807976,0.9586403832,6.4469932127
1.4167971823,0.7063649295,0.7502576584,0.9418430097,0.9364075752,6.601589729
1.2903226283,0.6859181092,0.7241937593,0.9430354413,0.9154961486,5.4738918819
0.9078014184,0.764353051,0.7918882979,0.9496059098,0.9651539708,8.4037731813
0.8819445254,0.7681489313,0.7991855235,0.9487476413,0.9673053377,8.7598861538
0.975,0.7549419745,0.7993233618,0.951714885,0.9657086309,6.9359611181
1.4987621306,0.6884533646,0.7432375674,0.9410508144,0.9316014573,6.0012664897
1.0427350427,0.7642827062,0.7873406193,0.9520368114,0.9606787195,7.2791696935
1,0.7758015971,0.810282716,0.9532080183,0.9689548605,7.9478497047
1.1694600266,0.7520113432,0.7720022914,0.9434902305,0.9539916596,7.6213914965
1.1981981982,0.7018572114,0.7668156879,0.9489215998,0.937515528,5.2742831065
1.0671641791,0.7587644266,0.767612984,0.9471343801,0.9586157456,7.157159916
1.0336134454,0.7250989291,0.7831864453,0.9526479656,0.95744592,5.9112520175
1.125000017,0.7223392275,0.7797266746,0.9453206636,0.9475565124,6.5288837826
1.0338983051,0.7372897051,0.7701097527,0.9486697706,0.9560212133,6.7678930898
0.8010641071,0.7109243328,0.7926902519,0.9423415576,0.9423660263,6.4476110526
1.3280534685,0.690322627,0.7419807903,0.9363913706,0.9296732696,6.0619580863
0.940397351,0.7681859678,0.7931862699,0.948068561,0.9647729529,8.6474014346
1.1842105263,0.7622079375,0.777322937,0.9520487868,0.9590732353,6.8285142889
1.1475409836,0.7069925549,0.7838114754,0.9448086286,0.9388807069,6.2163527479
1.4614572352,0.6847553944,0.7337302314,0.9454796054,0.9290453767,5.2263488642
1.2222222222,0.749620493,0.8015221661,0.9504367095,0.9633673383,7.1513595942
1.128440367,0.7288522596,0.7923472813,0.9484229424,0.9553057554,6.2119633704
1.0666666764,0.7148119852,0.7481294623,0.9410602451,0.936256252,6.0805924343
